applicant_id,employment_type,rent_payment_ratio,utility_payment_ratio,telecom_payment_ratio,telecom_tenure_months,monthly_bank_inflow,monthly_bank_outflow,avg_bank_balance,bounce_count_6m,gig_monthly_earnings,gig_earnings_stability,gig_months_active,gig_rating,income_to_expense_ratio,payment_consistency,data_conflict_count,falsified_record_flag,falsification_type,fraud_risk_score,missing_data_ratio,credit_risk_score,decision
A00001,gig,0.962,0.861,0.941,77,24496,14569,4453,2,22180,0.934,35,4.68,1.681,0.922,0,0,none,0.084,0.0,0.11,APPROVE
A00002,salaried,0.879,0.995,0.949,50,25105,23709,10624,0,3998,0.696,30,4.71,1.059,0.941,0,0,none,0.0,0.0,0.021,APPROVE
A00003,self_employed,0.967,0.956,0.961,28,35105,21583,13275,0,6734,0.87,31,4.88,1.627,0.962,0,0,none,0.011,0.0,0.027,APPROVE
A00004,salaried,0.702,0.729,0.863,21,25093,12979,5490,0,,0.47,33,4.36,1.933,0.765,0,0,none,0.156,0.083,0.226,DECLINE
A00005,gig,,0.821,0.748,44,42560,27329,11426,2,39174,,27,4.09,1.557,0.784,0,0,none,0.116,0.167,0.216,DECLINE
A00006,gig,0.91,0.925,0.921,80,52542,31000,17366,0,38731,,53,4.31,1.695,0.919,0,0,none,0.101,0.083,0.076,APPROVE
A00007,gig,0.715,0.672,0.683,31,13337,11723,4571,1,8035,0.466,43,3.95,1.138,0.69,0,0,none,0.172,0.0,0.289,DECLINE
A00008,self_employed,0.891,0.94,0.913,37,22187,7766,8686,0,965,,0,,2.857,0.915,0,0,none,0.062,0.167,0.078,APPROVE
A00009,gig,0.746,0.649,0.78,33,54695,34329,10256,1,46703,,50,4.21,1.593,0.725,0,0,none,0.198,0.083,0.216,DECLINE
A00010,salaried,0.852,0.889,0.898,43,51844,27052,20232,0,,,34,4.66,1.916,0.88,0,0,none,0.089,0.167,0.145,APPROVE
A00011,self_employed,0.894,0.908,0.872,120,75910,38870,27679,1,6535,0.644,27,,1.953,0.891,0,0,none,0.049,0.083,0.065,APPROVE
A00012,self_employed,0.893,0.924,0.987,61,25681,17722,4688,0,3682,0.921,24,4.4,1.449,0.934,0,0,none,0.088,0.0,0.089,APPROVE
A00013,gig,0.928,0.862,0.88,46,19677,11565,6479,2,14786,0.734,47,4.44,1.701,0.89,0,0,none,0.057,0.0,0.15,APPROVE
